name,author,category,rank,read,link
Concrete Island: A Novel,J.G. Ballard,science-fiction,3,,http://www.amazon.com/gp/product/031242034X?colid=2LMPXLZ7PRY8&coliid=I1OHR0NXTU25XI&ref_=wl_it_dp_o_pC_nS_ttl
Hyperion,Dan Simmons,science-fiction,4,,http://www.amazon.com/gp/product/0575116773?colid=2LMPXLZ7PRY8&coliid=I20DC1BX9OXS90&ref_=wl_it_dp_o_pC_nS_ttl
Neuromancer,William Gibson,science-fiction,3,,http://www.amazon.com/gp/product/0441012035?colid=2LMPXLZ7PRY8&coliid=I1JW1SMK7LF2YU&ref_=wl_it_dp_o_pC_nS_ttl
Impressions of Africa,Raymond Roussel,fiction,3,,http://www.amazon.com/gp/product/1847492703?colid=2LMPXLZ7PRY8&coliid=I69K5NGJW4XB7&ref_=wl_it_dp_o_pd_nS_ttl
The Crying of Lot 49,Thomas Pynchon,science-fiction,4,,http://www.amazon.com/gp/product/1606864602?colid=2LMPXLZ7PRY8&coliid=I1IKM7VR8SW3KO&ref_=wl_it_dp_o_pC_nS_ttl
The Wild Boys,William S. Burroughs,science-fiction,3,,http://www.amazon.com/gp/product/0802133312?colid=2LMPXLZ7PRY8&coliid=I2A42UUN1D09YD&ref_=wl_it_dp_o_pd_S_ttl
War in the Age of Intelligent Machines,Manuel De Landa,politics,3,,http://www.amazon.com/gp/product/0942299752?colid=2LMPXLZ7PRY8&coliid=I1QPBYJ6ZT47EU&ref_=wl_it_dp_o_pC_nS_ttl
Crazy is a Compliment,Linda Rottenberg,self-improvement,4,,http://www.amazon.com/gp/product/B00INIXTGI?colid=2DIJ6MQCOT3H9&coliid=I33R6KSEUKCGKI&ref_=wl_it_dp_o_pd_nS_ttl
The Art of Possibility,Rosamund Stone Zander,self-improvement,3,,http://www.amazon.com/gp/product/B00N1KJ76E?colid=2DIJ6MQCOT3H9&coliid=IL8JITVFHNMBU&ref_=wl_it_dp_o_pd_nS_ttl
Predictable Revenue,Aaron Ross,business,2,,http://www.amazon.com/gp/product/0984380213?colid=2DIJ6MQCOT3H9&coliid=I10DX2HULAQS3P&ref_=wl_it_dp_o_pC_nS_ttl
A Fighter's Heart,Sam Sheridan,self-improvement,3,,http://www.amazon.com/gp/product/0802143431?colid=2DIJ6MQCOT3H9&coliid=I36H96W8WADKGR&ref_=wl_it_dp_o_pC_nS_ttl
The Fighter's Mind,Sam Sheridan,self-improvement,3,,http://www.amazon.com/gp/product/0802119352?colid=2DIJ6MQCOT3H9&coliid=I1WY9QQ66WS5E6&ref_=wl_it_dp_o_pC_nS_ttl
Feynman Lectures on Computation,Richard Feynman,programming,5,,http://www.amazon.com/gp/product/0738202967?colid=RRGQ6P3CAW8K&coliid=I25R1KRS713IKM&ref_=wl_it_dp_o_pC_nS_ttl
The Names,Don Delillo,fiction,3,,http://www.amazon.com/gp/product/0679722955?colid=RRGQ6P3CAW8K&coliid=I3GNVPH9NU594L&ref_=wl_it_dp_o_pd_S_ttl
Pafko at the Wall,Don Delillo,fiction,3,,http://www.amazon.com/gp/product/0743230000?colid=RRGQ6P3CAW8K&coliid=I1E15YLZY3VR53&ref_=wl_it_dp_o_pC_nS_ttl
White Noise,Don Delillo,fiction,3,,http://www.amazon.com/gp/product/0143105981?colid=RRGQ6P3CAW8K&coliid=I3ULATEQC0HEHA&ref_=wl_it_dp_o_pC_nS_ttl
Libra,Don Delillo,fiction,3,,http://www.amazon.com/gp/product/0140156046?colid=RRGQ6P3CAW8K&coliid=I3VYQOB44Z83ZP&ref_=wl_it_dp_o_pC_S_ttl
Regular Expressions Cookbook,Jan Goyvaerts,programming,3,,http://www.amazon.com/gp/product/1449319432?colid=RRGQ6P3CAW8K&coliid=I3VYC5O8ZJJOXR&ref_=wl_it_dp_o_pd_nS_ttl
Mastering Regular Expressions,Jeffrey Friedl,programming,3,,http://www.amazon.com/gp/product/0596528124?colid=RRGQ6P3CAW8K&coliid=I3CNCGK7JV1G0K&ref_=wl_it_dp_o_pC_nS_ttl
Introducing Regular Expressions,Michael Fitzgerald,programming,3,,http://www.amazon.com/gp/product/1449392687?colid=RRGQ6P3CAW8K&coliid=I264Q4Q528ISXS&ref_=wl_it_dp_o_pC_nS_ttl
Designing Interfaces,Jenifer Tidwell,design,3,,http://www.amazon.com/gp/product/1449379702?colid=RRGQ6P3CAW8K&coliid=IQQZBZSDJYT6T&ref_=wl_it_dp_o_pC_nS_ttl
Semiology of Graphics,Jacques Bertin,design,5,,http://www.amazon.com/gp/product/1589482611?colid=RRGQ6P3CAW8K&coliid=I1EZ3X97TR3WDQ&ref_=wl_it_dp_o_pd_S_ttl
